food_item_id,restaurant_id,veg_nonveg,price,fooditem_name
127,197,veg,282,"Paneer Tikka"
128,263,veg,159,"Paneer Tikka"
129,224,veg,200,"Aloo Paratha"
130,143,veg,227,"Aloo Paratha"
131,26,veg,244,"Masala Dosa"
132,208,veg,191,"Aloo Paratha"
133,269,non-veg,330,"Mutton Rogan Josh"
134,254,veg,253,"Paneer Tikka"
135,69,non-veg,141,"Chicken 65"
136,54,non-veg,284,"Mutton Rogan Josh"
137,157,non-veg,277,"Chicken Biryani"
138,104,non-veg,245,"Chicken 65"
139,289,veg,246,"Aloo Paratha"
140,77,veg,240,"Chole Bhature"
141,105,non-veg,247,"Mutton Rogan Josh"
142,145,veg,117,"Chole Bhature"
143,254,non-veg,273,"Chicken Biryani"
144,137,non-veg,216,"Mutton Rogan Josh"
145,278,veg,144,"Aloo Paratha"
146,251,non-veg,280,"Fish Curry"
147,145,non-veg,238,"Mutton Rogan Josh"
148,192,non-veg,194,"Chicken 65"
149,275,veg,269,"Chole Bhature"
150,64,veg,127,"Chole Bhature"
151,42,veg,286,"Paneer Tikka"
152,131,non-veg,153,"Chicken 65"
153,196,non-veg,195,"Chicken Biryani"
154,292,non-veg,221,"Chicken 65"
155,108,non-veg,195,"Butter Chicken"
156,109,veg,319,"Masala Dosa"
157,286,veg,241,"Paneer Tikka"
158,272,veg,324,"Aloo Paratha"
159,192,veg,226,"Masala Dosa"
160,92,non-veg,140,"Butter Chicken"
161,142,non-veg,290,"Fish Curry"
162,64,veg,211,"Masala Dosa"
163,207,veg,289,"Chole Bhature"
164,63,non-veg,215,"Butter Chicken"
165,66,veg,149,"Aloo Paratha"
166,226,non-veg,240,"Chicken 65"
167,5,veg,253,"Aloo Paratha"
168,225,non-veg,223,"Chicken Biryani"
169,247,non-veg,219,"Mutton Rogan Josh"
170,235,non-veg,141,"Butter Chicken"
171,155,veg,263,"Chole Bhature"
172,106,non-veg,183,"Butter Chicken"
173,36,non-veg,153,"Mutton Rogan Josh"
174,73,non-veg,175,"Butter Chicken"
175,264,veg,243,"Masala Dosa"
176,231,non-veg,188,"Mutton Rogan Josh"
177,101,veg,216,"Aloo Paratha"
178,275,non-veg,180,"Mutton Rogan Josh"
179,167,veg,242,"Veg Biryani"
180,117,non-veg,229,"Fish Curry"
181,31,veg,175,"Paneer Tikka"
182,250,non-veg,228,"Fish Curry"
183,179,non-veg,148,"Chicken 65"
184,1,veg,220,"Aloo Paratha"
185,259,non-veg,243,"Chicken 65"
186,110,veg,225,"Aloo Paratha"
187,230,non-veg,245,"Butter Chicken"
188,258,veg,194,"Paneer Tikka"
189,256,veg,255,"Masala Dosa"
190,190,non-veg,205,"Chicken Biryani"
191,211,non-veg,196,"Butter Chicken"
192,155,non-veg,242,"Fish Curry"
193,84,veg,174,"Masala Dosa"
194,175,non-veg,222,"Mutton Rogan Josh"
195,74,veg,137,"Aloo Paratha"
196,251,veg,206,"Veg Biryani"
197,118,non-veg,164,"Mutton Rogan Josh"
198,175,non-veg,199,"Mutton Rogan Josh"
199,26,non-veg,264,"Chicken Biryani"
200,293,veg,247,"Paneer Tikka"
201,56,non-veg,177,"Butter Chicken"
202,39,non-veg,239,"Chicken Biryani"
203,1,veg,164,"Masala Dosa"
204,250,non-veg,206,"Mutton Rogan Josh"
205,264,veg,254,"Aloo Paratha"
206,130,veg,278,"Aloo Paratha"
207,139,veg,177,"Masala Dosa"
208,223,non-veg,196,"Fish Curry"
209,72,non-veg,219,"Chicken 65"
210,169,non-veg,199,"Fish Curry"
211,225,veg,314,"Chole Bhature"
212,281,veg,191,"Aloo Paratha"
213,91,non-veg,165,"Chicken 65"
214,44,veg,255,"Paneer Tikka"
215,82,non-veg,188,"Chicken 65"
216,57,non-veg,217,"Chicken Biryani"
217,111,non-veg,263,"Mutton Rogan Josh"
218,298,veg,252,"Chole Bhature"
219,212,non-veg,130,"Butter Chicken"
220,84,veg,234,"Paneer Tikka"
221,22,veg,308,"Paneer Tikka"
222,155,non-veg,307,"Mutton Rogan Josh"
223,263,non-veg,222,"Mutton Rogan Josh"
224,279,veg,236,"Aloo Paratha"
225,96,veg,282,"Masala Dosa"
226,235,non-veg,219,"Chicken 65"
227,160,non-veg,195,"Chicken 65"
228,98,veg,177,"Paneer Tikka"
229,49,veg,187,"Masala Dosa"
230,71,veg,248,"Paneer Tikka"
231,274,veg,183,"Masala Dosa"
232,279,non-veg,225,"Chicken Biryani"
233,76,non-veg,222,"Mutton Rogan Josh"
234,245,veg,239,"Masala Dosa"
235,6,veg,195,"Chole Bhature"
236,82,veg,266,"Aloo Paratha"
237,21,non-veg,156,"Mutton Rogan Josh"
238,160,veg,267,"Aloo Paratha"
239,275,non-veg,291,"Mutton Rogan Josh"
240,241,non-veg,296,"Chicken Biryani"
241,250,veg,219,"Paneer Tikka"
242,174,veg,220,"Chole Bhature"
243,11,veg,198,"Masala Dosa"
244,190,veg,314,"Paneer Tikka"
245,75,non-veg,237,"Mutton Rogan Josh"
246,177,non-veg,243,"Butter Chicken"
247,149,veg,248,"Veg Biryani"
248,92,non-veg,255,"Mutton Rogan Josh"
249,298,non-veg,154,"Butter Chicken"
250,283,veg,221,"Aloo Paratha"
251,196,veg,316,"Masala Dosa"
252,282,non-veg,224,"Chicken 65"
253,21,non-veg,242,"Butter Chicken"
254,181,non-veg,204,"Butter Chicken"
255,297,veg,225,"Paneer Tikka"
256,219,veg,231,"Paneer Tikka"
257,164,veg,309,"Chole Bhature"
258,30,non-veg,324,"Chicken Biryani"
259,2,non-veg,148,"Mutton Rogan Josh"
260,286,non-veg,238,"Chicken 65"
261,102,non-veg,277,"Mutton Rogan Josh"
262,214,non-veg,216,"Butter Chicken"
263,122,veg,307,"Chole Bhature"
264,38,non-veg,226,"Chicken 65"
265,143,veg,309,"Masala Dosa"
266,299,non-veg,162,"Fish Curry"
267,97,veg,195,"Chole Bhature"
268,180,non-veg,279,"Chicken Biryani"
269,107,non-veg,242,"Chicken Biryani"
270,14,non-veg,226,"Mutton Rogan Josh"
271,55,veg,231,"Veg Biryani"
272,183,veg,200,"Chole Bhature"
273,129,veg,257,"Veg Biryani"
274,73,veg,167,"Masala Dosa"
275,215,non-veg,319,"Chicken 65"
276,21,veg,155,"Masala Dosa"
277,72,veg,166,"Veg Biryani"
278,181,non-veg,275,"Mutton Rogan Josh"
279,72,veg,256,"Paneer Tikka"
280,226,non-veg,216,"Chicken 65"
281,255,veg,189,"Paneer Tikka"
282,106,veg,218,"Paneer Tikka"
283,274,non-veg,143,"Butter Chicken"
284,222,non-veg,279,"Chicken 65"
285,14,veg,228,"Masala Dosa"
286,261,veg,296,"Masala Dosa"
287,153,non-veg,195,"Chicken Biryani"
288,23,veg,203,"Paneer Tikka"
289,156,veg,125,"Chole Bhature"
290,230,veg,233,"Masala Dosa"
291,217,veg,301,"Veg Biryani"
292,273,non-veg,139,"Butter Chicken"
293,145,non-veg,158,"Chicken Biryani"
294,11,non-veg,261,"Butter Chicken"
295,254,non-veg,244,"Butter Chicken"
296,158,non-veg,124,"Butter Chicken"
297,211,non-veg,222,"Chicken Biryani"
298,11,non-veg,116,"Mutton Rogan Josh"
299,7,non-veg,156,"Chicken Biryani"
300,121,non-veg,258,"Fish Curry"
301,293,non-veg,226,"Butter Chicken"
302,76,veg,267,"Masala Dosa"
303,217,non-veg,205,"Butter Chicken"
304,251,non-veg,317,"Chicken Biryani"
305,284,non-veg,275,"Mutton Rogan Josh"
306,225,non-veg,255,"Chicken Biryani"
307,246,non-veg,170,"Chicken Biryani"
308,275,veg,230,"Aloo Paratha"
309,234,veg,264,"Paneer Tikka"
310,244,veg,227,"Paneer Tikka"
311,60,non-veg,271,"Fish Curry"
312,210,veg,263,"Veg Biryani"
313,144,veg,178,"Aloo Paratha"
314,256,non-veg,203,"Fish Curry"
315,127,veg,336,"Chole Bhature"
316,164,non-veg,151,"Chicken 65"
317,277,non-veg,284,"Butter Chicken"
318,72,veg,286,"Chole Bhature"
319,157,veg,220,"Masala Dosa"
320,230,veg,204,"Aloo Paratha"
321,16,non-veg,246,"Butter Chicken"
322,216,non-veg,130,"Chicken Biryani"
323,240,veg,242,"Chole Bhature"
324,287,non-veg,195,"Butter Chicken"
325,184,non-veg,252,"Fish Curry"
326,164,non-veg,228,"Fish Curry"
327,231,non-veg,287,"Mutton Rogan Josh"
328,270,veg,229,"Masala Dosa"
329,17,veg,234,"Veg Biryani"
330,5,non-veg,277,"Chicken Biryani"
331,254,veg,244,"Paneer Tikka"
332,152,non-veg,301,"Chicken Biryani"
333,188,non-veg,191,"Chicken 65"
334,144,veg,267,"Paneer Tikka"
335,283,non-veg,181,"Mutton Rogan Josh"
336,268,non-veg,172,"Fish Curry"
337,222,veg,265,"Chole Bhature"
338,31,non-veg,276,"Chicken 65"
339,241,veg,207,"Paneer Tikka"
340,61,non-veg,202,"Mutton Rogan Josh"
341,119,veg,259,"Masala Dosa"
342,25,non-veg,135,"Fish Curry"
343,238,veg,235,"Masala Dosa"
344,217,non-veg,191,"Fish Curry"
345,110,veg,260,"Chole Bhature"
346,263,veg,284,"Veg Biryani"
347,294,veg,192,"Chole Bhature"
348,146,non-veg,167,"Chicken Biryani"
349,54,veg,241,"Paneer Tikka"
350,219,non-veg,180,"Butter Chicken"
351,43,non-veg,285,"Fish Curry"
352,191,veg,231,"Aloo Paratha"
353,86,non-veg,196,"Fish Curry"
354,244,veg,200,"Paneer Tikka"
355,124,non-veg,164,"Fish Curry"
356,182,non-veg,144,"Mutton Rogan Josh"
357,170,veg,197,"Veg Biryani"
358,47,veg,133,"Masala Dosa"
359,173,non-veg,198,"Chicken Biryani"
360,59,veg,200,"Masala Dosa"
361,6,non-veg,233,"Chicken Biryani"
362,299,veg,208,"Paneer Tikka"
363,185,veg,188,"Masala Dosa"
364,136,veg,312,"Veg Biryani"
365,126,non-veg,238,"Butter Chicken"
366,70,non-veg,146,"Mutton Rogan Josh"
367,210,veg,264,"Chole Bhature"
368,139,veg,222,"Veg Biryani"
369,274,non-veg,193,"Fish Curry"
370,225,non-veg,221,"Chicken 65"
371,272,veg,162,"Aloo Paratha"
372,274,veg,287,"Chole Bhature"
373,17,veg,166,"Masala Dosa"
374,178,non-veg,218,"Chicken 65"
375,262,veg,270,"Masala Dosa"
376,88,veg,229,"Chole Bhature"
377,162,veg,321,"Veg Biryani"
378,46,non-veg,212,"Butter Chicken"
379,151,veg,194,"Chole Bhature"
380,243,non-veg,225,"Mutton Rogan Josh"
381,147,non-veg,216,"Chicken 65"
382,126,veg,226,"Chole Bhature"
383,28,veg,199,"Veg Biryani"
384,291,veg,249,"Veg Biryani"
385,65,non-veg,296,"Fish Curry"
386,107,non-veg,233,"Mutton Rogan Josh"
387,288,non-veg,280,"Fish Curry"
388,11,veg,120,"Masala Dosa"
389,131,veg,212,"Veg Biryani"
390,130,non-veg,288,"Butter Chicken"
391,23,veg,163,"Veg Biryani"
392,73,non-veg,215,"Mutton Rogan Josh"
393,289,veg,209,"Veg Biryani"
394,54,non-veg,156,"Fish Curry"
395,202,veg,211,"Masala Dosa"
396,31,veg,201,"Aloo Paratha"
397,261,non-veg,259,"Fish Curry"
398,236,non-veg,249,"Butter Chicken"
399,219,veg,242,"Veg Biryani"
400,292,non-veg,221,"Fish Curry"
401,182,non-veg,322,"Mutton Rogan Josh"
402,60,veg,241,"Veg Biryani"
403,56,non-veg,223,"Fish Curry"
404,225,veg,162,"Aloo Paratha"
405,75,non-veg,174,"Chicken Biryani"
406,107,non-veg,259,"Butter Chicken"
407,53,non-veg,286,"Mutton Rogan Josh"
408,16,non-veg,234,"Chicken Biryani"
409,173,non-veg,151,"Chicken Biryani"
410,283,non-veg,184,"Butter Chicken"
411,63,veg,134,"Chole Bhature"
412,68,veg,235,"Paneer Tikka"
413,174,non-veg,235,"Butter Chicken"
414,227,non-veg,230,"Mutton Rogan Josh"
415,94,veg,207,"Aloo Paratha"
416,136,veg,320,"Masala Dosa"
417,100,veg,221,"Veg Biryani"
418,215,veg,293,"Paneer Tikka"
419,62,veg,214,"Paneer Tikka"
420,1,non-veg,238,"Mutton Rogan Josh"
421,35,non-veg,278,"Butter Chicken"
422,268,non-veg,282,"Chicken 65"
423,176,veg,200,"Veg Biryani"
424,183,non-veg,120,"Butter Chicken"
425,183,veg,220,"Paneer Tikka"
426,34,non-veg,195,"Butter Chicken"
427,27,non-veg,185,"Chicken 65"
428,240,non-veg,146,"Butter Chicken"
429,244,veg,241,"Chole Bhature"
430,160,non-veg,254,"Chicken Biryani"
431,233,non-veg,187,"Chicken 65"
432,270,veg,173,"Veg Biryani"
433,1,veg,163,"Veg Biryani"
434,15,non-veg,251,"Chicken Biryani"
435,63,non-veg,185,"Fish Curry"
436,166,non-veg,176,"Chicken Biryani"
437,108,veg,321,"Chole Bhature"
438,180,veg,260,"Veg Biryani"
439,16,veg,128,"Masala Dosa"
440,283,veg,210,"Veg Biryani"
441,145,veg,146,"Veg Biryani"
442,87,non-veg,134,"Chicken Biryani"
443,25,non-veg,288,"Chicken 65"
444,253,non-veg,313,"Chicken 65"
445,167,non-veg,144,"Chicken 65"
446,174,veg,153,"Chole Bhature"
447,152,non-veg,278,"Butter Chicken"
448,201,non-veg,237,"Chicken 65"
449,66,non-veg,273,"Butter Chicken"
450,174,veg,247,"Aloo Paratha"
451,148,veg,196,"Paneer Tikka"
452,284,non-veg,227,"Fish Curry"
453,133,non-veg,237,"Butter Chicken"
454,198,non-veg,293,"Butter Chicken"
455,104,non-veg,250,"Chicken Biryani"
456,230,non-veg,263,"Chicken Biryani"
457,289,non-veg,254,"Chicken 65"
458,139,veg,207,"Paneer Tikka"
459,224,non-veg,228,"Butter Chicken"
460,47,non-veg,245,"Chicken 65"
461,276,non-veg,279,"Butter Chicken"
462,27,veg,189,"Masala Dosa"
463,57,non-veg,182,"Fish Curry"
464,133,veg,172,"Veg Biryani"
465,139,non-veg,147,"Chicken Biryani"
466,248,veg,161,"Veg Biryani"
467,261,non-veg,195,"Fish Curry"
468,222,veg,262,"Paneer Tikka"
469,82,non-veg,270,"Butter Chicken"
470,61,veg,272,"Chole Bhature"
471,95,veg,272,"Masala Dosa"
472,3,veg,286,"Aloo Paratha"
473,235,non-veg,208,"Chicken 65"
474,120,veg,210,"Chole Bhature"
475,199,non-veg,100,"Chicken Biryani"
476,171,non-veg,231,"Chicken 65"
477,24,veg,193,"Paneer Tikka"
478,38,veg,191,"Veg Biryani"
479,65,non-veg,261,"Mutton Rogan Josh"
480,228,non-veg,321,"Chicken Biryani"
481,23,non-veg,230,"Chicken Biryani"
482,140,non-veg,277,"Chicken Biryani"
483,123,veg,117,"Veg Biryani"
484,143,veg,211,"Veg Biryani"
485,101,non-veg,177,"Chicken 65"
486,196,veg,333,"Aloo Paratha"
487,224,veg,307,"Paneer Tikka"
488,245,non-veg,207,"Fish Curry"
489,167,non-veg,334,"Fish Curry"
490,224,non-veg,205,"Chicken Biryani"
491,149,non-veg,178,"Fish Curry"
492,88,non-veg,205,"Chicken 65"
493,33,non-veg,320,"Chicken Biryani"
494,257,non-veg,206,"Butter Chicken"
495,133,veg,222,"Paneer Tikka"
496,70,veg,213,"Masala Dosa"
497,63,non-veg,206,"Chicken 65"
498,8,non-veg,162,"Chicken Biryani"
499,4,non-veg,231,"Fish Curry"
500,180,non-veg,341,"Mutton Rogan Josh"
501,37,non-veg,232,"Fish Curry"
502,195,non-veg,217,"Chicken Biryani"
503,214,veg,135,"Aloo Paratha"
504,206,non-veg,258,"Fish Curry"
505,252,non-veg,314,"Mutton Rogan Josh"
506,243,non-veg,215,"Mutton Rogan Josh"
507,247,non-veg,261,"Chicken Biryani"
508,65,veg,272,"Aloo Paratha"
509,72,non-veg,224,"Fish Curry"
510,95,veg,161,"Veg Biryani"
511,148,non-veg,245,"Chicken 65"
512,250,veg,222,"Veg Biryani"
513,142,veg,210,"Masala Dosa"
514,40,non-veg,196,"Chicken Biryani"
515,275,non-veg,292,"Butter Chicken"
516,142,veg,270,"Paneer Tikka"
517,72,non-veg,320,"Mutton Rogan Josh"
518,104,veg,142,"Masala Dosa"
519,132,veg,146,"Paneer Tikka"
520,279,veg,266,"Aloo Paratha"
521,124,veg,141,"Paneer Tikka"
522,261,non-veg,241,"Chicken Biryani"
523,129,non-veg,293,"Fish Curry"
524,164,non-veg,263,"Butter Chicken"
525,183,veg,176,"Aloo Paratha"
526,176,veg,229,"Chole Bhature"
527,235,non-veg,212,"Fish Curry"
528,163,veg,224,"Veg Biryani"
529,257,non-veg,245,"Chicken Biryani"
530,169,non-veg,264,"Mutton Rogan Josh"
531,127,veg,281,"Aloo Paratha"
532,276,non-veg,226,"Fish Curry"
533,274,veg,319,"Chole Bhature"
534,24,veg,206,"Aloo Paratha"
535,222,veg,318,"Chole Bhature"
536,157,non-veg,233,"Mutton Rogan Josh"
537,101,non-veg,171,"Chicken 65"
538,221,non-veg,279,"Chicken Biryani"
539,98,non-veg,184,"Mutton Rogan Josh"
540,47,veg,309,"Masala Dosa"
541,40,veg,172,"Aloo Paratha"
542,5,veg,300,"Aloo Paratha"
543,82,veg,208,"Masala Dosa"
544,39,veg,305,"Chole Bhature"
545,196,veg,273,"Chole Bhature"
546,214,veg,128,"Masala Dosa"
547,201,non-veg,207,"Mutton Rogan Josh"
548,121,veg,143,"Chole Bhature"
549,148,veg,181,"Masala Dosa"
550,166,veg,181,"Aloo Paratha"
551,8,veg,308,"Paneer Tikka"
552,161,non-veg,268,"Chicken 65"
553,34,non-veg,143,"Butter Chicken"
554,145,non-veg,284,"Butter Chicken"
555,26,non-veg,150,"Fish Curry"
556,109,veg,178,"Masala Dosa"
557,300,non-veg,184,"Chicken Biryani"
558,139,veg,269,"Chole Bhature"
559,45,veg,220,"Aloo Paratha"
560,248,veg,182,"Aloo Paratha"
561,169,veg,321,"Masala Dosa"
562,244,veg,245,"Veg Biryani"
563,176,non-veg,166,"Mutton Rogan Josh"
564,225,veg,266,"Veg Biryani"
565,116,non-veg,166,"Fish Curry"
566,148,non-veg,222,"Chicken Biryani"
567,209,non-veg,206,"Chicken Biryani"
568,298,veg,227,"Aloo Paratha"
569,137,veg,203,"Veg Biryani"
570,72,veg,132,"Chole Bhature"
571,107,non-veg,244,"Butter Chicken"
572,292,veg,240,"Veg Biryani"
573,277,non-veg,196,"Chicken 65"
574,229,non-veg,144,"Butter Chicken"
575,68,veg,185,"Masala Dosa"
576,57,veg,206,"Veg Biryani"
577,291,non-veg,181,"Fish Curry"
578,148,veg,223,"Paneer Tikka"
579,216,veg,204,"Masala Dosa"
580,167,veg,170,"Paneer Tikka"
581,129,veg,187,"Veg Biryani"
582,201,non-veg,185,"Fish Curry"
583,83,non-veg,175,"Chicken 65"
584,76,veg,194,"Paneer Tikka"
585,238,veg,330,"Masala Dosa"
586,204,veg,238,"Chole Bhature"
587,261,veg,329,"Aloo Paratha"
588,280,non-veg,127,"Mutton Rogan Josh"
589,112,veg,291,"Aloo Paratha"
590,112,veg,116,"Paneer Tikka"
591,31,non-veg,216,"Butter Chicken"
592,176,non-veg,333,"Mutton Rogan Josh"
593,170,non-veg,252,"Mutton Rogan Josh"
594,62,non-veg,249,"Butter Chicken"
595,237,veg,207,"Masala Dosa"
596,216,veg,196,"Masala Dosa"
597,194,non-veg,281,"Mutton Rogan Josh"
598,34,non-veg,300,"Fish Curry"
599,103,non-veg,239,"Chicken Biryani"
600,254,veg,213,"Chole Bhature"
601,264,non-veg,327,"Chicken Biryani"
602,203,non-veg,282,"Fish Curry"
603,297,non-veg,306,"Fish Curry"
604,7,veg,246,"Masala Dosa"
605,230,non-veg,224,"Butter Chicken"
606,140,non-veg,113,"Butter Chicken"
607,289,veg,245,"Masala Dosa"
608,167,veg,233,"Chole Bhature"
609,246,non-veg,191,"Butter Chicken"
610,118,non-veg,163,"Mutton Rogan Josh"
611,140,veg,227,"Chole Bhature"
612,158,veg,243,"Paneer Tikka"
613,24,veg,325,"Masala Dosa"
614,80,veg,207,"Aloo Paratha"
615,63,veg,250,"Aloo Paratha"
616,186,veg,262,"Chole Bhature"
617,79,veg,275,"Aloo Paratha"
618,17,veg,272,"Chole Bhature"
619,69,non-veg,268,"Chicken Biryani"
620,169,veg,225,"Aloo Paratha"
621,276,veg,323,"Chole Bhature"
622,207,non-veg,115,"Chicken 65"
623,225,veg,240,"Chole Bhature"
624,221,non-veg,256,"Mutton Rogan Josh"
625,288,veg,219,"Veg Biryani"
626,290,non-veg,270,"Butter Chicken"
627,259,veg,219,"Chole Bhature"
628,272,non-veg,220,"Fish Curry"
629,172,non-veg,295,"Butter Chicken"
630,95,non-veg,209,"Mutton Rogan Josh"
631,108,veg,197,"Chole Bhature"
632,250,veg,296,"Chole Bhature"
633,277,veg,176,"Veg Biryani"
634,240,veg,260,"Masala Dosa"
635,130,non-veg,254,"Mutton Rogan Josh"
636,54,veg,188,"Chole Bhature"
637,198,veg,202,"Aloo Paratha"
638,263,non-veg,262,"Butter Chicken"
639,267,non-veg,190,"Chicken 65"
640,129,non-veg,258,"Chicken Biryani"
641,185,veg,236,"Aloo Paratha"
642,214,veg,261,"Masala Dosa"
643,140,veg,227,"Aloo Paratha"
644,121,veg,138,"Aloo Paratha"
645,63,non-veg,242,"Chicken 65"
646,138,non-veg,191,"Mutton Rogan Josh"
647,70,veg,226,"Veg Biryani"
648,283,veg,239,"Paneer Tikka"
649,82,veg,204,"Paneer Tikka"
650,50,non-veg,104,"Butter Chicken"
651,79,veg,205,"Aloo Paratha"
652,78,veg,267,"Paneer Tikka"
653,125,non-veg,203,"Butter Chicken"
654,150,veg,215,"Aloo Paratha"
655,41,veg,151,"Veg Biryani"
656,126,veg,285,"Aloo Paratha"
657,248,veg,234,"Paneer Tikka"
658,94,non-veg,164,"Chicken 65"
659,51,non-veg,262,"Mutton Rogan Josh"
660,205,veg,190,"Paneer Tikka"
661,54,veg,235,"Veg Biryani"
662,109,veg,287,"Chole Bhature"
663,272,veg,257,"Chole Bhature"
664,247,veg,234,"Chole Bhature"
665,161,non-veg,249,"Mutton Rogan Josh"
666,60,veg,194,"Veg Biryani"
667,283,non-veg,240,"Chicken Biryani"
668,73,veg,273,"Paneer Tikka"
669,28,veg,132,"Aloo Paratha"
670,280,veg,209,"Chole Bhature"
671,92,veg,211,"Masala Dosa"
672,7,veg,264,"Chole Bhature"
673,92,non-veg,228,"Chicken Biryani"
674,72,non-veg,306,"Butter Chicken"
675,197,veg,128,"Chole Bhature"
676,84,veg,139,"Masala Dosa"
