order_id,order_time,delivery_time,app_session_id,delivery_agent_id,restaurant_id,primary_product_id,delivery_fee_paid,payment_mode,sales_quantity,total_price,delivery_flag,order_day,order_month,order_year,min_time_delivery,order_hour,weekday(order_time)
15,"2024-08-08 08:30:58","2024-08-08 09:02:58",1749,1286,82,1882,23,UPI,2,412,Paid,8,8,2024,32,8,3
16,"2024-10-06 16:13:44","2024-10-06 17:25:44",18139,1432,299,858,49,Card,1,215,Paid,6,10,2024,72,16,6
17,"2024-11-16 00:21:33","2024-11-16 01:00:33",5987,1677,15,2007,56,Card,2,464,Paid,16,11,2024,39,0,5
18,"2024-07-28 10:06:06","2024-07-28 10:46:06",4014,1437,71,3976,49,Wallet,5,1066,Paid,28,7,2024,40,10,6
19,"2024-09-19 12:22:45","2024-09-19 13:16:45",15487,1133,130,2543,44,Cash,1,291,Paid,19,9,2024,54,12,3
20,"2024-12-16 22:39:06","2024-12-16 23:42:06",12840,1313,91,1674,48,Card,5,1061,Paid,16,12,2024,63,22,0
21,"2025-03-16 20:33:30","2025-03-16 21:33:30",1027,1184,292,154,24,Card,1,221,Paid,16,3,2025,60,20,6
22,"2024-10-15 08:11:39","2024-10-15 09:29:39",14874,1641,145,3760,32,Card,4,858,Paid,15,10,2024,78,8,1
23,"2025-01-04 16:02:19","2025-01-04 16:57:19",18509,1483,262,2285,36,UPI,5,1061,Paid,4,1,2025,55,16,5
24,"2024-09-04 16:09:03","2024-09-04 16:32:03",14602,1073,193,2857,22,Wallet,2,479,Paid,4,9,2024,23,16,2
25,"2025-03-13 20:17:43","2025-03-13 21:31:43",13053,1800,189,2677,34,Wallet,4,825,Paid,13,3,2025,74,20,3
26,"2025-05-20 05:13:29","2025-05-20 06:36:29",17549,1940,76,1046,39,Cash,3,785,Paid,20,5,2025,83,5,1
27,"2025-02-06 23:51:54","2025-02-07 00:19:54",994,1059,137,3134,50,Card,2,449,Paid,6,2,2025,28,23,3
28,"2025-04-24 03:12:50","2025-04-24 04:37:50",10125,1596,174,2477,49,Wallet,1,158,Paid,24,4,2025,85,3,3
29,"2025-04-23 23:58:53","2025-04-24 00:29:53",8327,1795,32,2957,0,Card,5,1333,Complimentary,23,4,2025,31,23,2
30,"2024-09-21 15:26:36","2024-09-21 16:09:36",10755,1433,244,4115,0,Wallet,3,804,Complimentary,21,9,2024,43,15,5
31,"2025-04-14 21:35:52","2025-04-14 21:59:52",9265,1664,199,1758,37,UPI,2,381,Paid,14,4,2025,24,21,0
32,"2024-09-16 18:51:00","2024-09-16 19:19:00",137,1596,130,206,27,UPI,1,278,Paid,16,9,2024,28,18,0
33,"2024-10-07 00:08:16","2024-10-07 01:20:16",13586,1283,161,4219,53,Card,3,751,Paid,7,10,2024,72,0,0
34,"2024-11-18 00:25:24","2024-11-18 01:31:24",2118,1781,276,1794,51,Card,1,186,Paid,18,11,2024,66,0,0
35,"2025-05-02 02:52:28","2025-05-02 03:21:28",15685,1171,195,3439,60,Card,5,1285,Paid,2,5,2025,29,2,4
36,"2025-06-10 16:09:04","2025-06-10 17:26:04",6324,1162,148,2512,54,Card,3,574,Paid,10,6,2025,77,16,1
37,"2024-09-03 14:29:36","2024-09-03 15:42:36",18480,1244,278,3547,51,Wallet,1,295,Paid,3,9,2024,73,14,1
38,"2025-01-07 08:41:51","2025-01-07 09:54:51",7832,1159,21,696,29,Cash,5,960,Paid,7,1,2025,73,8,1
39,"2025-01-03 16:51:40","2025-01-03 17:13:40",12652,1903,125,4820,54,Card,2,403,Paid,3,1,2025,22,16,4
40,"2025-01-09 05:36:30","2025-01-09 07:01:30",7530,1105,38,1411,58,UPI,2,515,Paid,9,1,2025,85,5,3
41,"2024-08-13 01:20:05","2024-08-13 02:19:05",7603,1286,97,4927,59,UPI,3,641,Paid,13,8,2024,59,1,1
42,"2025-02-25 00:49:37","2025-02-25 01:58:37",5072,1830,98,2933,58,Card,3,549,Paid,25,2,2025,69,0,1
43,"2024-12-09 01:16:08","2024-12-09 01:58:08",7827,1643,273,3001,37,UPI,1,309,Paid,9,12,2024,42,1,0
44,"2025-05-02 21:36:03","2025-05-02 22:23:03",17513,1338,177,2086,56,Wallet,1,243,Paid,2,5,2025,47,21,4
45,"2025-02-22 01:16:49","2025-02-22 01:46:49",7321,1204,38,1226,56,Card,4,1108,Paid,22,2,2025,30,1,5
46,"2024-07-26 13:20:35","2024-07-26 14:23:35",706,1552,90,4599,26,Cash,2,456,Paid,26,7,2024,63,13,4
47,"2024-07-28 16:29:12","2024-07-28 17:27:12",5158,1128,112,589,0,Card,5,1131,Complimentary,28,7,2024,58,16,6
48,"2025-04-25 14:50:43","2025-04-25 16:14:43",8061,1168,8,1960,43,UPI,3,617,Paid,25,4,2025,84,14,4
49,"2024-10-06 19:21:14","2024-10-06 19:41:14",13233,1613,33,1039,0,Wallet,3,701,Complimentary,6,10,2024,20,19,6
50,"2024-08-13 10:07:46","2024-08-13 10:31:46",3583,1080,38,2112,22,Card,5,1244,Paid,13,8,2024,24,10,1
51,"2024-10-19 01:41:33","2024-10-19 03:07:33",18443,1192,168,1043,42,UPI,2,358,Paid,19,10,2024,86,1,5
52,"2025-05-22 18:21:28","2025-05-22 19:23:28",7122,1962,197,793,54,Card,2,628,Paid,22,5,2025,62,18,3
53,"2024-09-22 09:53:50","2024-09-22 10:37:50",390,1943,300,1097,28,Card,4,1006,Paid,22,9,2024,44,9,6
54,"2024-09-19 00:06:25","2024-09-19 01:33:25",167,1981,65,1799,51,Card,5,1335,Paid,19,9,2024,87,0,3
55,"2025-02-17 06:31:47","2025-02-17 07:12:47",323,1351,59,3347,49,UPI,5,1061,Paid,17,2,2025,41,6,0
56,"2024-11-24 03:36:40","2024-11-24 04:43:40",18332,1578,61,3301,38,Card,5,1128,Paid,24,11,2024,67,3,6
57,"2024-10-10 13:00:16","2024-10-10 14:28:16",17000,1613,14,2881,23,Cash,4,973,Paid,10,10,2024,88,13,3
58,"2025-04-10 00:15:11","2025-04-10 00:44:11",4637,1733,255,1654,38,Cash,1,277,Paid,10,4,2025,29,0,3
59,"2025-04-07 19:14:14","2025-04-07 20:28:14",13167,1538,270,432,27,Wallet,3,621,Paid,7,4,2025,74,19,0
60,"2024-09-10 11:02:08","2024-09-10 12:31:08",10165,1904,166,4128,34,Cash,1,106,Paid,10,9,2024,89,11,1
61,"2024-07-20 05:37:42","2024-07-20 06:29:42",17240,1387,49,3189,40,Wallet,3,734,Paid,20,7,2024,52,5,5
62,"2025-05-30 12:37:52","2025-05-30 13:34:52",1947,1406,173,4513,47,UPI,5,1348,Paid,30,5,2025,57,12,4
63,"2025-06-20 21:02:44","2025-06-20 22:27:44",11606,1411,94,4880,23,UPI,4,738,Paid,20,6,2025,85,21,4
64,"2025-04-17 02:26:58","2025-04-17 03:55:58",13798,1211,197,703,39,UPI,2,508,Paid,17,4,2025,89,2,3
65,"2024-08-13 17:26:07","2024-08-13 18:51:07",5101,1873,222,23,0,Wallet,4,1018,Complimentary,13,8,2024,85,17,1
66,"2024-12-22 01:47:53","2024-12-22 03:04:53",13426,1589,203,1120,27,Cash,4,997,Paid,22,12,2024,77,1,6
67,"2024-12-08 07:21:48","2024-12-08 08:17:48",2405,1672,11,4919,52,Card,2,369,Paid,8,12,2024,56,7,6
68,"2025-01-14 00:40:16","2025-01-14 01:05:16",2036,1116,31,2678,20,Card,5,1136,Paid,14,1,2025,25,0,1
69,"2025-03-04 06:01:26","2025-03-04 06:29:26",6123,1430,83,3260,40,Card,4,931,Paid,4,3,2025,28,6,1
70,"2025-04-29 09:08:14","2025-04-29 09:32:14",6243,1908,84,4677,39,UPI,1,242,Paid,29,4,2025,24,9,1
71,"2025-06-13 00:36:48","2025-06-13 01:29:48",974,1170,132,3892,53,UPI,2,372,Paid,13,6,2025,53,0,4
72,"2024-08-15 13:46:03","2024-08-15 14:06:03",2928,1243,90,3848,28,Cash,5,1066,Paid,15,8,2024,20,13,3
73,"2024-12-27 05:15:00","2024-12-27 05:58:00",31,1440,167,1497,41,UPI,1,188,Paid,27,12,2024,43,5,4
74,"2025-02-28 09:27:48","2025-02-28 10:04:48",14341,1420,295,2145,26,Card,5,1255,Paid,28,2,2025,37,9,4
75,"2025-05-03 19:10:01","2025-05-03 19:39:01",17792,1469,279,2666,28,Wallet,4,1045,Paid,3,5,2025,29,19,5
76,"2024-07-07 15:34:10","2024-07-07 16:59:10",11792,1918,91,213,41,Cash,1,165,Paid,7,7,2024,85,15,6
77,"2025-03-10 21:45:02","2025-03-10 22:42:02",13697,1315,81,2251,38,UPI,1,214,Paid,10,3,2025,57,21,0
78,"2025-04-10 18:28:40","2025-04-10 18:52:40",18768,1564,298,4771,56,Cash,2,486,Paid,10,4,2025,24,18,3
79,"2025-06-30 03:52:01","2025-06-30 05:05:01",8443,1817,11,2171,48,UPI,4,860,Paid,30,6,2025,73,3,0
80,"2024-09-25 05:49:35","2024-09-25 06:46:35",7704,1150,16,2282,49,Cash,2,432,Paid,25,9,2024,57,5,2
81,"2025-01-14 10:21:59","2025-01-14 11:42:59",9697,1346,37,2943,54,Cash,3,774,Paid,14,1,2025,81,10,1
82,"2025-06-22 22:58:54","2025-06-22 23:20:54",10984,1486,85,2346,41,UPI,2,395,Paid,22,6,2025,22,22,6
83,"2024-12-09 19:31:51","2024-12-09 19:52:51",839,1156,84,727,44,Card,3,693,Paid,9,12,2024,21,19,0
84,"2025-03-14 11:29:06","2025-03-14 11:49:06",17523,1605,142,2039,26,Cash,2,394,Paid,14,3,2025,20,11,4
85,"2025-06-02 01:40:02","2025-06-02 02:53:02",14867,1556,217,1458,54,Card,2,435,Paid,2,6,2025,73,1,0
86,"2025-05-26 13:19:12","2025-05-26 14:04:12",12886,1927,220,954,21,Wallet,5,869,Paid,26,5,2025,45,13,0
87,"2024-09-26 23:15:47","2024-09-26 23:49:47",10420,1671,115,1494,51,Card,3,712,Paid,26,9,2024,34,23,3
88,"2025-01-17 04:49:31","2025-01-17 06:15:31",1076,1756,166,2382,47,UPI,4,872,Paid,17,1,2025,86,4,4
89,"2024-12-13 13:45:22","2024-12-13 14:47:22",13112,1312,77,2776,29,Wallet,2,289,Paid,13,12,2024,62,13,4
90,"2024-10-29 14:06:45","2024-10-29 15:15:45",12015,1667,297,972,56,Cash,2,435,Paid,29,10,2024,69,14,1
91,"2024-11-26 02:43:50","2024-11-26 04:05:50",10979,1208,202,2719,59,UPI,1,135,Paid,26,11,2024,82,2,1
92,"2024-09-13 13:48:05","2024-09-13 14:17:05",14164,1912,184,4296,37,UPI,1,179,Paid,13,9,2024,29,13,4
93,"2024-11-06 05:38:08","2024-11-06 06:02:08",1223,1389,135,3999,47,Cash,5,1173,Paid,6,11,2024,24,5,2
94,"2025-06-16 21:57:29","2025-06-16 23:07:29",5500,1931,22,2457,0,Cash,4,808,Complimentary,16,6,2025,70,21,0
95,"2024-07-23 00:07:25","2024-07-23 00:32:25",15774,1668,171,4227,41,UPI,2,421,Paid,23,7,2024,25,0,1
96,"2024-12-25 04:19:36","2024-12-25 05:10:36",3417,1001,197,4244,0,Cash,3,726,Complimentary,25,12,2024,51,4,2
97,"2024-10-06 02:32:08","2024-10-06 03:55:08",14571,1676,172,1431,0,Cash,4,1094,Complimentary,6,10,2024,83,2,6
98,"2024-12-26 23:36:40","2024-12-27 00:01:40",1086,1555,300,557,60,Card,4,791,Paid,26,12,2024,25,23,3
99,"2025-02-15 08:48:20","2025-02-15 09:14:20",3518,1577,12,2517,55,Card,1,144,Paid,15,2,2025,26,8,5
100,"2025-05-30 15:35:16","2025-05-30 17:02:16",14740,1326,13,3560,24,UPI,5,1043,Paid,30,5,2025,87,15,4
101,"2025-06-22 23:05:46","2025-06-23 00:13:46",16464,1498,232,2128,0,Wallet,5,992,Complimentary,22,6,2025,68,23,6
102,"2025-04-10 15:09:11","2025-04-10 15:50:11",16201,1184,106,3759,42,Card,2,434,Paid,10,4,2025,41,15,3
103,"2025-05-28 09:58:02","2025-05-28 10:26:02",10964,1447,92,4929,30,UPI,3,674,Paid,28,5,2025,28,9,2
104,"2025-06-07 00:07:00","2025-06-07 01:30:00",6448,1983,253,4856,49,Card,3,572,Paid,7,6,2025,83,0,5
105,"2025-02-04 14:52:13","2025-02-04 15:43:13",2629,1389,203,3222,44,Wallet,5,1132,Paid,4,2,2025,51,14,1
106,"2024-09-17 06:15:34","2024-09-17 07:11:34",17335,1216,226,708,44,Cash,4,877,Paid,17,9,2024,56,6,1
107,"2025-02-13 11:06:14","2025-02-13 11:48:14",1051,1424,116,3555,0,Card,1,269,Complimentary,13,2,2025,42,11,3
108,"2024-07-21 00:17:13","2024-07-21 00:49:13",5939,1071,274,4752,20,Cash,4,926,Paid,21,7,2024,32,0,6
109,"2024-08-19 18:24:06","2024-08-19 19:44:06",16340,1197,111,1834,38,Cash,4,594,Paid,19,8,2024,80,18,0
110,"2025-03-17 21:14:54","2025-03-17 21:49:54",15060,1911,229,2625,48,Wallet,4,844,Paid,17,3,2025,35,21,0
111,"2024-09-30 03:17:35","2024-09-30 04:47:35",627,1534,133,1019,32,Card,4,927,Paid,30,9,2024,90,3,0
112,"2025-02-19 18:45:40","2025-02-19 19:38:40",19294,1987,150,3391,50,Cash,2,367,Paid,19,2,2025,53,18,2
113,"2025-05-04 03:51:40","2025-05-04 04:19:40",5188,1988,286,4340,24,Cash,3,892,Paid,4,5,2025,28,3,6
114,"2024-09-22 11:15:03","2024-09-22 11:40:03",10070,1856,146,4870,40,Cash,4,813,Paid,22,9,2024,25,11,6
115,"2025-06-29 15:54:48","2025-06-29 16:32:48",11563,1044,16,1699,43,Cash,4,748,Paid,29,6,2025,38,15,6
116,"2024-10-31 04:50:44","2024-10-31 05:33:44",8445,1276,236,398,41,UPI,5,899,Paid,31,10,2024,43,4,3
117,"2024-08-14 16:12:23","2024-08-14 17:09:23",2168,1786,220,1141,31,Cash,2,448,Paid,14,8,2024,57,16,2
118,"2025-04-17 03:39:41","2025-04-17 04:14:41",6543,1975,234,2190,26,Card,4,1083,Paid,17,4,2025,35,3,3
119,"2025-06-29 18:05:04","2025-06-29 18:28:04",15826,1992,110,1273,25,Card,5,1278,Paid,29,6,2025,23,18,6
120,"2024-11-20 03:12:01","2024-11-20 04:15:01",9136,1441,243,4760,58,Cash,3,589,Paid,20,11,2024,63,3,2
121,"2024-08-11 22:58:24","2024-08-12 00:12:24",6678,1140,39,1331,35,UPI,2,346,Paid,11,8,2024,74,22,6
122,"2024-09-03 03:57:00","2024-09-03 04:56:00",9345,1251,38,2970,22,Card,2,350,Paid,3,9,2024,59,3,1
123,"2024-12-16 20:19:05","2024-12-16 21:13:05",5983,1741,265,4956,54,Wallet,3,841,Paid,16,12,2024,54,20,0
124,"2025-05-19 20:58:51","2025-05-19 21:47:51",12569,1390,180,4720,40,Card,3,826,Paid,19,5,2025,49,20,0
125,"2024-12-29 00:38:36","2024-12-29 01:02:36",1338,1662,255,3672,55,Cash,5,1013,Paid,29,12,2024,24,0,6
126,"2024-08-06 03:11:53","2024-08-06 03:57:53",19730,1037,160,3935,44,UPI,3,612,Paid,6,8,2024,46,3,1
127,"2024-11-24 23:28:02","2024-11-25 00:51:02",1888,1070,57,1491,44,Card,2,500,Paid,24,11,2024,83,23,6
128,"2025-04-15 21:36:21","2025-04-15 22:54:21",304,1516,55,4195,0,Cash,3,651,Complimentary,15,4,2025,78,21,1
129,"2024-07-10 23:51:50","2024-07-11 00:48:50",7596,1093,39,3271,23,Cash,3,735,Paid,10,7,2024,57,23,2
130,"2024-11-29 15:20:02","2024-11-29 16:17:02",3028,1186,246,4046,0,Card,3,658,Complimentary,29,11,2024,57,15,4
131,"2025-05-22 18:20:28","2025-05-22 19:00:28",15614,1768,216,4001,57,Card,2,336,Paid,22,5,2025,40,18,3
132,"2024-08-21 14:21:34","2024-08-21 15:28:34",9865,1980,108,2609,0,Cash,5,1024,Complimentary,21,8,2024,67,14,2
133,"2024-08-01 01:16:52","2024-08-01 02:00:52",12110,1266,223,4235,54,Card,1,263,Paid,1,8,2024,44,1,3
134,"2024-08-29 16:37:13","2024-08-29 17:56:13",17490,1806,178,1041,58,Card,4,777,Paid,29,8,2024,79,16,3
135,"2024-08-12 02:09:24","2024-08-12 03:36:24",4607,1171,201,3018,55,Cash,3,728,Paid,12,8,2024,87,2,0
136,"2025-04-08 20:03:53","2025-04-08 20:33:53",12978,1206,68,3058,55,Wallet,3,610,Paid,8,4,2025,30,20,1
137,"2024-08-10 05:50:48","2024-08-10 07:14:48",117,1491,182,1172,42,Cash,5,1247,Paid,10,8,2024,84,5,5
138,"2024-11-30 04:06:55","2024-11-30 04:27:55",13170,1822,60,3049,35,UPI,4,830,Paid,30,11,2024,21,4,5
139,"2024-07-08 19:12:58","2024-07-08 19:47:58",273,1119,281,4160,32,Wallet,2,505,Paid,8,7,2024,35,19,0
140,"2024-07-21 02:44:04","2024-07-21 03:14:04",5991,1951,119,1844,25,Card,5,1125,Paid,21,7,2024,30,2,6
141,"2025-05-28 15:01:31","2025-05-28 16:28:31",6700,1431,112,4043,0,Cash,4,1018,Complimentary,28,5,2025,87,15,2
142,"2025-02-16 16:38:00","2025-02-16 17:27:00",3522,1532,153,3851,26,UPI,5,1382,Paid,16,2,2025,49,16,6
143,"2025-01-01 12:19:29","2025-01-01 13:43:29",16986,1012,287,2934,38,UPI,4,945,Paid,1,1,2025,84,12,2
144,"2024-10-02 08:35:46","2024-10-02 09:41:46",10582,1626,146,2708,20,Cash,4,1005,Paid,2,10,2024,66,8,2
145,"2024-09-28 02:04:12","2024-09-28 02:25:12",19097,1392,288,4573,32,UPI,1,194,Paid,28,9,2024,21,2,5
146,"2025-03-28 19:50:33","2025-03-28 21:00:33",10451,1281,42,2836,31,Wallet,1,137,Paid,28,3,2025,70,19,4
147,"2025-03-19 12:01:06","2025-03-19 12:33:06",9204,1412,294,4818,56,Cash,3,749,Paid,19,3,2025,32,12,2
148,"2025-06-20 20:04:03","2025-06-20 21:21:03",15082,1695,112,3911,44,UPI,4,1058,Paid,20,6,2025,77,20,4
149,"2024-09-27 15:52:47","2024-09-27 16:57:47",15425,1102,236,1677,0,Cash,2,266,Complimentary,27,9,2024,65,15,4
150,"2024-11-09 23:04:57","2024-11-10 00:07:57",8635,1424,24,534,54,Cash,5,892,Paid,9,11,2024,63,23,5
151,"2025-04-14 14:53:46","2025-04-14 15:57:46",1605,1241,202,4586,0,Cash,2,312,Complimentary,14,4,2025,64,14,0
152,"2025-01-23 15:44:26","2025-01-23 16:59:26",4100,1198,297,3918,0,Card,5,1289,Complimentary,23,1,2025,75,15,3
153,"2024-11-30 19:29:32","2024-11-30 20:21:32",8876,1887,272,1532,36,Cash,4,948,Paid,30,11,2024,52,19,5
154,"2025-05-18 12:50:35","2025-05-18 14:01:35",4881,1806,76,2129,38,Cash,1,243,Paid,18,5,2025,71,12,6
155,"2025-05-23 08:32:08","2025-05-23 09:26:08",18780,1672,24,3772,59,Card,1,235,Paid,23,5,2025,54,8,4
156,"2024-10-18 17:59:55","2024-10-18 18:57:55",19391,1287,55,3963,32,Card,3,682,Paid,18,10,2024,58,17,4
157,"2025-01-21 16:30:41","2025-01-21 17:35:41",5420,1069,294,2639,60,Wallet,4,896,Paid,21,1,2025,65,16,1
158,"2024-08-05 07:17:16","2024-08-05 07:59:16",10862,1466,198,2820,47,UPI,1,171,Paid,5,8,2024,42,7,0
159,"2024-12-08 12:09:34","2024-12-08 13:02:34",17431,1039,202,4311,35,Cash,4,769,Paid,8,12,2024,53,12,6
160,"2024-07-03 06:49:08","2024-07-03 07:33:08",5298,1648,96,3425,34,Wallet,3,704,Paid,3,7,2024,44,6,2
161,"2025-01-24 13:32:44","2025-01-24 14:41:44",15869,1187,152,4555,57,Wallet,1,311,Paid,24,1,2025,69,13,4
162,"2024-12-01 06:29:31","2024-12-01 07:31:31",8391,1374,266,2273,47,Card,3,598,Paid,1,12,2024,62,6,6
163,"2025-05-28 06:02:35","2025-05-28 06:45:35",9375,1918,109,794,0,Wallet,1,305,Complimentary,28,5,2025,43,6,2
164,"2025-03-31 19:26:05","2025-03-31 20:34:05",6552,1469,172,2033,44,Card,3,662,Paid,31,3,2025,68,19,0
165,"2025-02-08 09:04:53","2025-02-08 09:51:53",5040,1602,238,845,0,Wallet,2,500,Complimentary,8,2,2025,47,9,5
166,"2025-01-19 22:18:44","2025-01-19 22:45:44",18207,1424,248,1326,21,Card,3,528,Paid,19,1,2025,27,22,6
167,"2025-06-24 13:14:56","2025-06-24 14:09:56",149,1169,277,4922,36,Cash,1,194,Paid,24,6,2025,55,13,1
168,"2025-03-28 17:48:48","2025-03-28 18:24:48",12470,1479,227,96,59,Cash,4,759,Paid,28,3,2025,36,17,4
169,"2024-07-16 20:39:49","2024-07-16 21:39:49",11848,1131,212,3967,40,Wallet,4,733,Paid,16,7,2024,60,20,1
170,"2024-08-10 22:05:12","2024-08-10 22:39:12",12106,1923,187,2954,46,Wallet,5,962,Paid,10,8,2024,34,22,5
171,"2024-11-05 22:10:23","2024-11-05 22:44:23",8380,1937,233,3450,40,Wallet,1,149,Paid,5,11,2024,34,22,1
172,"2025-04-12 15:27:23","2025-04-12 16:00:23",8417,1710,298,2920,35,Wallet,5,985,Paid,12,4,2025,33,15,5
173,"2025-03-02 18:31:20","2025-03-02 19:17:20",827,1817,189,1993,0,Card,4,887,Complimentary,2,3,2025,46,18,6
174,"2025-05-10 01:35:25","2025-05-10 02:47:25",14182,1106,217,896,0,Wallet,4,658,Complimentary,10,5,2025,72,1,5
175,"2024-10-24 23:44:42","2024-10-25 00:14:42",16500,1551,197,4943,54,Card,1,297,Paid,24,10,2024,30,23,3
176,"2025-03-08 13:53:17","2025-03-08 14:16:17",18586,1165,17,4821,0,Card,1,203,Complimentary,8,3,2025,23,13,5
177,"2024-10-25 16:28:32","2024-10-25 17:50:32",2716,1219,247,4741,39,Cash,4,754,Paid,25,10,2024,82,16,4
178,"2024-08-25 16:43:54","2024-08-25 18:09:54",13700,1697,210,4100,55,UPI,2,300,Paid,25,8,2024,86,16,6
179,"2024-08-13 20:01:51","2024-08-13 21:06:51",6399,1532,46,4487,41,Cash,4,924,Paid,13,8,2024,65,20,1
180,"2024-07-30 18:13:37","2024-07-30 19:01:37",15593,1490,30,4283,54,Wallet,5,876,Paid,30,7,2024,48,18,1
181,"2025-03-14 11:58:46","2025-03-14 12:30:46",7437,1656,153,2777,21,UPI,3,679,Paid,14,3,2025,32,11,4
182,"2024-09-10 11:00:25","2024-09-10 11:41:25",5442,1541,217,1320,20,Wallet,2,467,Paid,10,9,2024,41,11,1
183,"2024-10-26 19:04:48","2024-10-26 20:25:48",11897,1741,225,623,42,UPI,2,390,Paid,26,10,2024,81,19,5
184,"2025-06-08 07:15:22","2025-06-08 08:45:22",2793,1619,191,887,28,Cash,1,214,Paid,8,6,2025,90,7,6
185,"2025-03-19 12:40:29","2025-03-19 14:03:29",12219,1368,175,2272,0,Card,4,1018,Complimentary,19,3,2025,83,12,2
186,"2024-08-01 20:56:21","2024-08-01 21:25:21",14900,1996,167,445,52,Wallet,5,917,Paid,1,8,2024,29,20,3
187,"2024-09-23 11:42:25","2024-09-23 12:51:25",5711,1603,298,3031,0,Wallet,4,944,Complimentary,23,9,2024,69,11,0
188,"2025-05-31 05:14:22","2025-05-31 06:18:22",8308,1078,231,2659,39,UPI,5,1039,Paid,31,5,2025,64,5,5
189,"2025-06-22 14:50:10","2025-06-22 15:57:10",18264,1641,44,1453,0,Card,4,1130,Complimentary,22,6,2025,67,14,6
190,"2025-02-27 03:10:41","2025-02-27 03:40:41",2701,1050,156,4232,48,Cash,1,189,Paid,27,2,2025,30,3,3
191,"2024-08-15 01:24:30","2024-08-15 02:19:30",7194,1285,218,1459,0,Wallet,3,591,Complimentary,15,8,2024,55,1,3
192,"2025-05-18 22:24:31","2025-05-18 23:38:31",16343,1858,205,3940,53,Cash,2,460,Paid,18,5,2025,74,22,6
193,"2024-12-12 15:23:06","2024-12-12 16:14:06",7787,1685,276,2905,47,UPI,1,266,Paid,12,12,2024,51,15,3
194,"2025-04-10 18:17:40","2025-04-10 19:11:40",18724,1851,158,3311,47,UPI,1,146,Paid,10,4,2025,54,18,3
195,"2024-09-12 07:15:33","2024-09-12 07:54:33",2472,1050,14,1370,46,Wallet,1,138,Paid,12,9,2024,39,7,3
196,"2024-07-18 14:52:44","2024-07-18 16:13:44",7712,1346,293,3534,51,Card,1,265,Paid,18,7,2024,81,14,3
197,"2025-01-02 12:58:39","2025-01-02 13:59:39",4363,1625,168,2403,0,Card,5,1163,Complimentary,2,1,2025,61,12,3
198,"2025-05-25 18:08:48","2025-05-25 18:30:48",14065,1868,199,3255,60,Card,1,198,Paid,25,5,2025,22,18,6
199,"2024-10-04 23:53:28","2024-10-05 00:47:28",13979,1009,105,141,0,UPI,2,494,Complimentary,4,10,2024,54,23,4
200,"2025-05-04 00:27:27","2025-05-04 01:17:27",371,1441,41,2643,60,UPI,1,195,Paid,4,5,2025,50,0,6
201,"2024-08-13 23:37:03","2024-08-14 00:57:03",6923,1847,126,3854,48,Card,1,194,Paid,13,8,2024,80,23,1
202,"2024-08-15 18:01:33","2024-08-15 18:39:33",10036,1564,86,2748,0,UPI,3,490,Complimentary,15,8,2024,38,18,3
203,"2025-04-23 20:25:18","2025-04-23 20:54:18",17685,1529,176,4996,51,Cash,1,160,Paid,23,4,2025,29,20,2
204,"2024-09-27 09:33:09","2024-09-27 10:41:09",1108,1734,164,90,41,UPI,4,858,Paid,27,9,2024,68,9,4
205,"2024-11-24 19:21:25","2024-11-24 19:43:25",12813,1276,121,2741,56,Cash,2,408,Paid,24,11,2024,22,19,6
